Field_ID,Soil_ID,Field_point,Gauge_mV_before_flood,Gauge_mV_after_1minflood,Density_kg/m3_ND,MassWC_%_ND,Density_kg/m3_PT,MassWC_%_PT
1,1,1,1966.85,2815.9,1998,,,
2,1,2,2061.9,2743.2,2000,,,
3,1,3,2052.6,2807,2000,,,
4,1,4,2077.45,2701.6,1976,,2028.6,6
5,1,5,2038.5,2765.8,1960,,,
6,1,6,2024.95,2767.8,1971,,,
7,1,7,2021.2,2763.35,2008,,,
8,1,8,2067.05,2742.3,1961,,,
9,1,9,2112.05,2756.95,1980,,,
10,1,10,2103.2,2798.2,2020,6.6,,
11,1,11,2147.65,2750.7,2037,6.9,,
12,1,12,2126.3,2771.1,2045,6.8,,
13,1,13,2118.9,2781.7,1977,6.6,,
14,1,14,2060.8,2781.75,1985,6.1,,
15,1,15,2153.9,2730.4,2053,7.3,,
16,1,16,2094.9,2798.5,1991,6,,
17,1,17,2140.9,2780.75,2004,5.7,,
18,1,18,2006.25,2758.65,1994,6.7,,
19,1,19,2148.15,2794.1,2067,6.5,,
20,1,20,2013.65,2800.75,1999,5,,
21,2,1,,,,,,
22,3,1,2255.45,2762.75,1687,7.5,,
23,3,2,2233.15,2795,1600,7.4,1576.1,8.6
24,3,3,2123.65,2781.9,1679,5,,
25,3,4,2212.1,2782.2,1504,7,,
26,3,5,2162.35,2763.05,1612,6,,
27,3,6,2174.8,2788.75,1601,7.1,,
28,3,7,2146.2,2798.6,1660,10.1,,
29,3,8,2187.2,2759.6,1645,9.5,,
30,3,9,2316.7,2750.95,1718,9.3,,
31,3,10,2229.65,2786.25,1711,8.9,,
32,3,11,2202.6,2803.4,1609,8.7,1541.7,8.5
33,3,12,2143.05,2804.35,1616,6.9,,
34,3,13,2193.7,2868,1584,8.9,1604.1,8.3
35,3,14,2128.4,2774.9,1620,8.8,,
36,3,15,2145,2762.65,1594,8.7,,
37,3,16,2151.05,2804.65,1628,9,,
38,4,1,2055,2675.7,2109,5.2,,
39,4,2,1988.55,2932.1,2105,5.3,,
40,4,3,2075.45,2841.8,2219,6.4,,
41,4,4,1977.65,2891.45,2125,6,,
42,4,5,2089.9,2844,2076,5,,
43,4,6,2021.05,2849.05,2147,4.7,,
44,4,7,2052.7,2825.25,2147,5.4,,
45,4,8,2033.6,2712.85,,,2134.2,2.4
46,4,9,2027.65,2758.45,,,2134.2,2.4
47,4,10,2021.05,2758.2,,,2134.2,2.4
48,4,11,2006.7,2833.4,,,2294.5,2.6
49,4,12,2064.4,2751.6,,,2294.5,2.6
50,4,13,1977.6,2777.85,,,2235.5,3.4
51,4,14,2002.65,2869.75,,,2235.5,3.4
52,5,1,2072,2769.8,2126,3.7,,
53,5,2,2072,2769.8,2162,3.7,,
54,5,3,2083.15,2765.55,2141,3.6,,
55,5,4,2083.15,2765.55,2122,3.9,,
56,5,5,2143.85,2631.15,2270,4.3,,
57,5,6,2005.1,2631.95,2167,2.1,,
58,5,7,2105.45,2704.3,2163,4.5,,
59,5,8,2105.45,2704.3,2202,3.7,,
60,5,9,2074,2779.85,2146,3.9,,
61,5,10,2074,2779.85,2167,4.5,,
62,5,11,2070.85,2764.4,2160,4,,
63,5,12,1989.1,2816.5,2117,3.7,,
64,5,13,1989.1,2816.5,2042,3.6,,
65,5,14,1989.1,2816.5,2148,4.1,,
66,6,1,1939.35,2859.95,2133,3.7,,
67,6,2,1977,2693.4,2115,3.5,,
68,6,3,1915.35,2849.65,2096,3.4,,
69,6,4,1924.8,2748.95,2088,3.7,,
70,7,1,1942.8,2869.65,2038,2.2,,
71,7,2,1989.7,2820.9,2071,2.2,,
72,7,3,1945.5,2790.5,1849,2.2,,
73,7,4,2004.75,2731.3,1956,2.4,,
74,7,5,1964.75,2752.95,2047,3.3,1992.5,2.2
75,7,6,1949.3,2817,2010,2.7,,
76,7,7,1976.8,2781.85,2057,2.8,,
77,7,8,1966.2,2824.4,1981,2.7,,
78,7,9,1955.35,2869,1908,2.6,,
79,7,10,1955.75,2769.9,1879,2.4,,
80,7,11,1942.35,2883.15,1926,1.6,,
81,7,12,1950.95,2880.55,2007,2.6,,
82,8,1,1972.05,2905.25,2225,3.8,,
83,8,2,2075.3,2779.15,2225,3.5,,
84,8,3,2160.7,2693.95,2194,4.9,,
85,9,1,2099.9,2749.75,2196.8,5.1,,
86,9,2,2094.2,2802.65,2247,5.5,,
87,9,3,2089.1,2793.85,2206,4.9,,
88,10,1,2014.5,2630.25,1959,3.8,,
89,10,2,2014.5,2630.25,1922,3.8,,
90,10,3,2049.4,2627,2096,2.9,,
91,10,4,2049.4,2627,,3.9,,
92,10,5,2060.1,2587.2,2192,3,,
93,10,6,2060.1,2587.2,2134,3.5,,
94,10,7,2021.45,2616.35,1909,3.5,,
95,10,8,2021.45,2616.35,1868,3,,
96,11,1,2207.75,2748.45,1813,7.9,,
97,11,2,2178.15,2687.6,1806,8.2,,
98,12,1,2011.75,2617.55,,,1899,5.1
99,12,2,1998.6,2693.35,,,1899,5.1
100,12,3,1995.35,2600.75,,,1920.8,5.9
101,12,4,2028.05,2508.7,,,1920.8,5.9
102,12,5,2004.05,26784,,,2039.4,5
103,12,6,1969.3,2361.1,,,2039.4,5
104,12,7,2027.35,2570.3,,,1874.5,4.9
105,12,8,2030.4,2429.95,,,1928.6,5.8
106,12,9,2044.45,2688.85,,,1928.6,5.8
107,12,10,2050.95,2617.55,,,1939.1,5.3
108,12,11,1985.1,2646.65,,,2012.2,4.5
109,12,12,2000.05,2710.25,,,2012.2,4.5
110,12,13,2037.6,2440.5,,,1911.6,5.5
111,12,14,2002.45,2582.3,,,1911.6,5.5
112,12,15,1979,2703.75,,,1932.5,4.5
113,12,16,2004.05,2465.15,,,1932.5,4.5
114,12,17,2043.45,2388.8,,,1863.8,6.6
115,12,18,2036,2532.85,,,1863.8,6.6
116,12,19,2042.35,2777.9,,,1926.5,7
117,12,20,2068.15,2624.3,,,1926.5,7
118,12,21,2102.8,2636.65,,,1920.4,8.3
119,12,22,2075.85,2591.9,,,1920.4,8.3
120,12,23,2105.3,2445.2,,,1920.4,8.3
121,12,24,2092.95,2633.2,,,1892.5,7.1
122,12,25,2041.7,2476.55,,,1892.5,7.1
123,12,26,2036.8,2615.2,,,1892.5,7.1
124,12,27,2083.45,2555.45,,,1780.1,8.3
125,12,28,2087.6,2684.75,,,1780.1,8.3
126,12,29,2150.5,2578.9,,,1827.5,9.7
127,12,30,2139.1,2511.9,,,1827.5,9.7
128,12,31,2206.15,2599.1,,,1984.3,8.2
129,12,32,2206.15,2607.65,,,1984.3,8.2
130,12,33,2094.35,2721.05,,,1984.3,8.2
131,12,34,2076.15,2490.7,,,1846.3,7.5
132,12,35,2095.9,2708.55,,,1846.3,7.5
133,12,36,2122.4,2567.3,,,1939.7,6.8
134,12,37,2085.8,2561.6,,,1939.7,6.8
135,12,38,2121.2,2672,,,1939.7,6.8
136,12,39,2136.8,2611.8,,,1919.6,9
137,12,40,2172.8,2535.05,,,1919.6,9
138,12,41,2133.25,2766.95,,,1925.4,7.2
139,12,42,2220.75,2694.95,,,1925.4,7.2
140,12,43,2091.95,2272.85,,,1908.4,9.4
141,12,44,2119.05,2353.9,,,1908.4,9.4
142,12,45,2083.9,2818.9,,,1908.4,9.4
143,12,46,2178.45,2385.4,,,1879.6,10.6
144,12,47,2184.9,2661.7,,,1879.6,10.6
145,12,48,2186.1,2580.4,,,1879.6,10.6
146,12,49,2100.75,2464.85,,,1890,7.1
147,12,50,2141.25,2522.5,,,1890,7.1
148,12,51,2181.15,2742.15,,,2011.1,7.7
149,12,52,2159.5,2624.5,,,2011.1,7.7
150,12,53,2252.4,2775.7,,,2011.1,7.7
151,12,54,2107.7,2693.05,,,1892.6,8.8
152,12,55,2167.9,2699.6,,,1892.6,8.8
153,12,56,2141.25,2639.8,,,1892.6,8.8
154,12,57,2065.1,2530.35,,,1964.7,7.9
155,12,58,2173.45,2705.95,,,1964.7,7.9
156,12,59,2167.05,2601,,,1964.7,7.9
157,13,1,2162.55,2679.85,,,1842.5,13.7
158,13,2,2172,2696,,,1842.5,13.7
159,13,3,2089,2680.05,,,1815.5,11.8
160,13,4,2119.85,2694,,,1815.5,11.8
161,13,5,2124.05,2755.2,,,1843.6,10.3
162,13,6,2083.8,2617.25,,,1843.6,10.3
163,13,7,2127.4,2785.75,,,1952,11.9
164,13,8,2141.9,2748.2,,,1952,11.9
165,14,1,2046.95,2477.05,,,1861.8,10.3
166,14,2,2090.6,2725.45,,,1861.8,10.3
167,14,3,2117.8,2661.95,,,1900,7.3
168,14,4,2065.9,2583,,,1900,7.3
169,14,5,2064.15,2739.2,,,1923.9,9.5
170,14,6,2095.75,2643.45,,,1923.9,9.5
171,14,7,2067.5,2574.95,,,1923.9,9.5
172,14,8,2094.45,2736,,,1914.6,11.8
173,14,9,2093.05,2620.5,,,1914.6,11.8
174,14,10,2081.65,2760.2,,,1854.8,8.6
175,14,11,2058.55,2778.35,,,1854.8,8.6
176,14,12,2112.55,2664.3,,,1952.1,9.2
177,14,13,2066,2731,,,1952.1,9.2
178,14,14,2117.4,2660.9,,,1952.1,9.2
179,14,15,2109.55,2716.85,,,1843.2,9.7
180,14,16,2125.15,2733.9,,,1843.2,9.7
181,14,17,2120.65,2732.25,,,1843.2,9.7
182,14,18,2088.7,2709.9,,,1897.9,8.3
183,14,19,2091.7,2629.05,,,1897.9,8.3
184,14,20,2110.95,2649.3,,,1897.9,8.3
185,14,21,2107,2649.05,,,1944.9,8.9
186,14,22,2084.4,2718.9,,,1944.9,8.9
187,14,23,2059.05,2718.85,,,1828.3,8
188,14,24,2041.65,2541.8,,,1828.3,8
189,14,25,2082.3,2567.9,,,1828.3,8
190,14,26,2077.75,2644.15,,,1791.1,8
191,14,27,2033,2591.15,,,1791.1,8
192,14,28,2015.65,2677.95,,,1879.9,7.1
193,14,29,2054.1,2651.15,,,1879.9,7.1
194,14,30,2025.7,2728.05,,,1736.8,11
195,14,31,2077.2,2697.95,,,1736.8,11
196,14,32,2025.55,2606.1,,,1736.8,11
197,14,33,2006.1,2647.75,,,1863.6,5.9
198,14,34,2046.2,2657.5,,,1863.6,5.9
199,14,35,2096.8,2621.5,,,1863.6,5.9
200,14,36,2029.55,2566.75,,,1817.2,7.6
201,14,37,2064.4,2550.45,,,1817.2,7.6
202,14,38,2049.75,2690.7,,,1772.2,8.8
203,14,39,2098.05,2589.15,,,1772.2,8.8
204,14,40,2063.55,2566,,,1862.3,7.5
205,14,41,2060.75,2654.3,,,1862.3,7.5
206,14,42,2024.95,2680.8,,,1862.3,7.5
207,14,43,2073.05,2688.85,,,1838.5,8.1
208,14,44,2034.3,2585.3,,,1838.5,8.1
209,14,45,2088.75,2517.1,,,1838.5,8.1
210,14,46,2088.05,2670.8,,,1833.2,8.6
211,14,47,2088.95,2710.75,,,1833.2,8.6
212,14,48,2046.05,2589.95,,,1833.2,8.6
213,14,49,2021.1,2667.45,,,1806,8
214,14,50,2028.1,2611.15,,,1806,8
215,15,1,2068.6,2689.65,1880,5.1,,
216,15,2,1983.45,2791,1880,5.1,,
217,15,3,1972.95,2747.55,1880,5.1,,
218,15,4,2069.1,2823.75,,,,
219,15,5,2028.7,2686.2,1869,4.2,,
220,15,6,2041.8,2686.2,1869,4.2,,
221,15,7,1925.85,2663.35,1869,4.2,,
222,15,8,1942.2,2634.8,,,1939.5,4
223,16,1,1955.65,2792.75,2296,2.2,,
224,16,2,1944.55,2849.25,2202,1.9,,
225,16,3,2009.15,2719.25,2256,1.6,,
226,16,4,1948.85,2794.8,2245,1.8,,
227,16,5,1954.3,2803.8,2256,1.8,,
228,16,6,1946.25,2794.8,2149,2.4,,
229,17,1,2014.35,2884.95,,,1987.9,3.8
230,17,2,1941.75,2843.15,,,1987.9,3.8
231,17,3,1985.65,2816.95,,,1987.9,3.8
232,17,4,2001.65,2780.9,,,2148.2,3.6
233,17,5,1992.65,2786.55,,,2148.2,3.6
234,17,6,1999.95,2840.3,,,1860.8,4.4
235,17,7,1972.65,2856.95,,,1860.8,4.4
236,17,8,1986.85,2795.65,,,1788.3,3.1
237,17,9,1965.6,2837.55,,,1788.3,3.1
238,17,10,1975.75,2825.2,,,1788.3,3.1
239,18,1,2318.85,2616.8,1715,12.2,,
240,18,2,2312.05,2655.15,1700,10.8,1647,17.7
241,18,3,2324.5,2698.85,1635,12.9,1647,17.7
242,18,4,2396.75,2667.55,1771,11,1640,17.9
243,18,5,2323.95,2664.3,1696,11.7,1640,17.9
244,18,6,2395.85,2715.2,1653,13.3,1647,17.7
245,18,7,2298.05,2648.05,1676,11.3,1640,17.9
246,18,8,2281.35,2682,1679,9.5,1695,15.9
247,18,9,2311.95,2674.55,1690,11.3,1695,15.9
248,18,10,2370.25,2681.1,1698,10.7,1695,15.9
249,18,11,2308.75,2758.95,1651,9.3,1695,15.9
250,18,12,2344,2662.1,1667,9.3,1695,15.9
251,18,13,2311.65,2660.85,1706,8.3,1695,15.9
252,18,14,2297.6,2756.5,1653,11,1695,15.8
253,18,15,2296.4,2675,1657,11,1701,15.6
254,18,16,2420.5,2638.7,1694,11.7,1706,15.4
255,18,17,2432.4,2703.3,1645,15,1711,15.2
256,18,18,2411.45,2676.3,1646,12,1715,15.1
257,18,19,2397,2695,1718,11.8,1720,14.9
258,18,20,2478.8,2631.95,1665,13.6,1602,17.6
259,18,21,2468,2654.55,1678,13.4,1602,17.6
260,18,22,2389.35,2648.55,1749,10.1,1545,18.2
261,18,23,2513.2,2692.7,1686,13.7,1545,18.2
262,18,24,2485.15,2708.35,1669,13.6,1545,18.2
263,18,25,2386.2,2638.6,1712,11.6,1545,18.2
264,18,26,2515.75,2693.45,1694,13.7,1545,18.2
265,18,27,2550.85,2687.35,1683,13.2,1651,18.7
266,18,28,2379.8,2722.15,1698,12.1,1531,19.6
267,18,29,2552.1,2700.7,1652,15,1531,19.6
268,18,30,2601.45,2717.25,1694,14.4,1651,18.7
269,18,31,2492.9,2645.45,1682,12.3,1531,19.6
270,18,32,2396.3,2720.65,1649,13.2,1531,19.6
271,18,33,2453.9,2723.35,1706,12.1,,
272,18,34,2425.95,2679.05,1704,11.1,,
273,18,35,2356.05,2678.95,1670,11.8,1564,17.5
274,18,36,2433.1,2725.65,1682,10.9,1564,17.5
275,18,37,2400.5,2646.3,1710,10.7,,
276,18,38,2368.35,2686.1,1734,10.4,,
277,18,39,2245.95,2625.7,1710,9.2,,
278,18,40,2278.9,2657.55,1720,10.6,1723,13.7
279,18,41,2270,2720.5,1690,11.6,1723,13.7
280,18,42,2375.05,2678.95,1704,11.2,,
281,18,43,2257.65,2635.45,1685,9.3,1723,13.7
282,18,44,2228.2,2645.4,1652,9.8,1723,13.7
283,18,45,2483.2,2678.1,1729,11.8,,
284,18,46,2257.4,2667.75,1664,9.1,,
285,18,47,2334.1,2673.85,1644,11.8,,
286,18,48,2633.75,2723.5,1703,11.9,,
287,18,49,2212.95,2680.4,1679,8.7,,
288,18,50,2274.05,2752.75,1692,10,1500,16.8
289,18,51,2347.3,2623.75,1667,9.6,1500,16.8
290,18,52,2294.6,2622,1661,11.1,,
291,18,53,2345.3,2585.15,1716,9.6,1500,16.8
292,18,54,2341.6,2702.45,1683,10.1,1500,16.8
293,18,55,2452.75,2600.55,1624,9.9,,
294,18,56,2435.35,2698.05,1641,10.8,1556,16.2
295,18,57,2421.15,2636.9,1680,11.8,1556,16.2
296,18,58,2549.05,2694.85,1634,9.2,,
297,18,59,2357.2,2722.55,1659,10.7,1556,16.2
298,18,60,2311.95,2711.45,1643,10.7,1556,16.2
299,19,1,2413.5,2468.05,,,1973.4,11.9
300,19,2,2428.9,2561.35,,,1971.6,10.9
301,19,3,2355.3,2420.85,,,2079.1,11
302,19,4,2342.95,2517.4,,,2079.1,11
303,19,5,2326.2,2542.85,,,2005.6,10.5
304,19,6,2424.85,2535.85,,,2005.6,10.5
305,19,7,2389.8,2618.9,,,2005.6,10.5
306,19,8,2355.7,2493.2,,,2079.1,11
307,19,9,2414.95,2506,,,2079.1,11
308,20,1,2051.35,2836.9,2214,3.5,2218,3.5
309,20,2,1983.45,2823.7,2239,3.1,,
310,20,3,1972.95,2747.55,2155,3.2,,
311,20,4,2069.6,2823.75,2223,3.5,,
312,20,5,2028.7,2674.75,2217,3.6,2069.2,3.7
313,20,6,2041.8,2674.75,2108,3.5,,
314,21,1,1977,2798.4,1933,3.5,,
315,21,2,1941.4,2877.8,1933,3.5,,
316,21,3,1952.95,2887.9,1860,3.8,,
317,21,4,1997.8,2799.5,1860,3.8,,
318,21,5,1947.5,2901.7,1928,3.4,,
319,21,6,1962.15,2847.8,1928,3.4,,
320,21,7,2089.85,2649.35,2147,4,,
321,21,8,2094.05,2676.9,2130,4.5,2251.2,3.5
322,21,9,2081.75,2709.85,2135,5.1,2251.2,3.5
323,21,10,2090.55,2691.15,2143,4.6,2351,4.2
324,21,11,2078.4,2650.15,2221,5.7,2251.2,3.5
325,21,12,2064.95,2720.05,2136,4.5,2251.2,3.5
326,21,13,2148.45,2629.85,2217,5,2351,4.2
327,21,14,2103.4,2737.85,2189,4.7,2351,4.2
328,21,15,2033.8,2739.05,2109,3.9,2358,3.6
329,21,16,2145.1,2564.4,2374,5.1,2312.9,3.8
330,21,17,2083.2,2684.05,2180,5.3,2358,3.6
